"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\HP 840 G3\Desktop\Project\shoot\pages\components\BackGround.js", "JavaScript", 16, 0, 3, 19
"c:\Users\HP 840 G3\Desktop\Project\shoot\pages\components\Chat.js", "JavaScript", 75, 1, 9, 85
"c:\Users\HP 840 G3\Desktop\Project\shoot\pages\components\ChatMedia.js", "JavaScript", 223, 116, 23, 362
"c:\Users\HP 840 G3\Desktop\Project\shoot\pages\components\ChatMedia2.js", "JavaScript", 228, 119, 23, 370
"c:\Users\HP 840 G3\Desktop\Project\shoot\pages\components\ChatSidebar.js", "JavaScript", 121, 0, 11, 132
"c:\Users\HP 840 G3\Desktop\Project\shoot\pages\components\Emojis.js", "JavaScript", 26, 0, 3, 29
"c:\Users\HP 840 G3\Desktop\Project\shoot\pages\components\Footer.js", "JavaScript", 4, 0, 2, 6
"c:\Users\HP 840 G3\Desktop\Project\shoot\pages\components\Header.js", "JavaScript", 35, 13, 8, 56
"c:\Users\HP 840 G3\Desktop\Project\shoot\pages\components\Layout.js", "JavaScript", 17, 0, 3, 20
"c:\Users\HP 840 G3\Desktop\Project\shoot\pages\components\Loading.js", "JavaScript", 66, 0, 6, 72
"c:\Users\HP 840 G3\Desktop\Project\shoot\pages\components\MainSidebar.js", "JavaScript", 64, 0, 5, 69
"c:\Users\HP 840 G3\Desktop\Project\shoot\pages\components\Message.js", "JavaScript", 447, 1, 26, 474
"c:\Users\HP 840 G3\Desktop\Project\shoot\pages\components\MessageList.js", "JavaScript", 345, 12, 42, 399
"c:\Users\HP 840 G3\Desktop\Project\shoot\pages\components\Navbar.js", "JavaScript", 49, 0, 3, 52
"c:\Users\HP 840 G3\Desktop\Project\shoot\pages\components\Notes.js", "JavaScript", 46, 0, 4, 50
"c:\Users\HP 840 G3\Desktop\Project\shoot\pages\components\SharedMedia.js", "JavaScript", 106, 0, 11, 117
"c:\Users\HP 840 G3\Desktop\Project\shoot\pages\components\SiteLogo.js", "JavaScript", 11, 0, 2, 13
"c:\Users\HP 840 G3\Desktop\Project\shoot\pages\components\Voicenotes.js", "JavaScript", 175, 2, 19, 196
"c:\Users\HP 840 G3\Desktop\Project\shoot\pages\components\VoicenotesFunction.js", "JavaScript", 127, 0, 15, 142
"c:\Users\HP 840 G3\Desktop\Project\shoot\pages\components\keepChatMedia.js", "JavaScript", 89, 21, 10, 120
"c:\Users\HP 840 G3\Desktop\Project\shoot\pages\components\mp3keep.j.js", "JavaScript", 92, 0, 2, 94
"Total", "-", 2362, 285, 230, 2877
